site,track_id,fish_id,species,kud95_area,pathway_length,kud95_feeding_area,feeding_pathway_length
PenguinSpit,BB7071203,BB,CH.MICRO,61.9777079,71.95245578,14.1224855,15.4441493
PenguinSpit,BB7120958,BB,CH.MICRO,31.82639021,28.88602672,29.4059953,27.7979227
PenguinSpit,BB7140844,BB,CH.MICRO,152.5660935,80.44202328,115.720168,91.807635200000007
PenguinSpit,BB7141321,BB,CH.MICRO,153.7286772,64.1458848,41.7131789,48.7564136
PenguinSpit,BB7201510,BB,CH.MICRO,80.66146294,68.04446046,35.2510348,26.3842681
PenguinSpit,BB8111256,BB,CH.MICRO,129.2916265,89.33212176,55.4251118,47.280062
PenguinSpit,BB8260959,BB,CH.MICRO,121.5735,70.28841258,84.2388693,64.2790943
PenguinSpit,GP7071024,GP,CH.MICRO,75.83457529,74.33800617,46.6252663,48.9971771
PenguinSpit,GP7100951,GP,CH.MICRO,197.6062027,126.8399184,116.9099,130.26408
PenguinSpit,GP7121335,GP,CH.MICRO,89.18378605,67.84381754,54.0618556,44.7623414
PenguinSpit,GP7131041,GP,CH.MICRO,78.01129281,70.88762759,35.5352194,37.1250714
PenguinSpit,GP7210943,GP,CH.MICRO,153.4684116,104.3375043,121.31881,96.7553306
PenguinSpit,NL7121001,NL,CH.MICRO,282.5583502,151.5307291,78.1783365,78.6240554
PenguinSpit,NL7140847,NL,CH.MICRO,280.2224104,413.604517,27.4018304,34.2590245
PenguinSpit,NL7141108,NL,CH.MICRO,235.102761,160.6094622,60.7010743,45.8131358
PenguinSpit,NL7141316,NL,CH.MICRO,419.5128642,198.4488311,188.762002,128.194322
PenguinSpit,NL7141528,NL,CH.MICRO,403.2606793,162.5417975,188.205484,108.797942
PenguinSpit,NL7151235,NL,CH.MICRO,233.2105041,102.3665838,94.6460826,71.2140416
PenguinSpit,NL7201446,NL,CH.MICRO,1089.85,498.0823535,217.064871,136.032917
PenguinSpit,RB7141115,RB,CH.MICRO,516.9700862,180.7847577,226.144813,127.449939
PenguinSpit,RB7151223,RB,CH.MICRO,378.803078,193.5349403,165.138246,122.852545
PenguinSpit,RB7210942,RB,CH.MICRO,274.0514883,82.96036077,88.1144986,76.6523962
PenguinSpit,RB7301200,RB,CH.MICRO,295.0898071,113.9767736,220.571964,93.0652835
PenguinSpit,RB8090913,RB,CH.MICRO,328.0616833,173.3350615,97.9888668,89.5464188
PenguinSpit,RB8130906,RB,CH.MICRO,331.0849912,188.5693846,96.7543051,111.176544
PenguinSpit,RH7121400,RH,CH.MICRO,343.6544675,281.929894,91.1316381,79.456228
PenguinSpit,RH7131042,RH,CH.MICRO,360.0952584,129.3239707,123.294766,68.9527045
PenguinSpit,RH7300934,RH,CH.MICRO,108.8860507,62.72172939,69.1961453,53.1207247
PenguinSpit,RH8151520,RH,CH.MICRO,207.7536191,76.305517,190.481643,80.5518912
WesternTerrace,DJ7111220,DJ,CH.MICRO,748.528358,176.405532,619.639964,161.988062
WesternTerrace,DJ7291430,DJ,CH.MICRO,1152.94346,228.306603,766.10725,323.896756
WesternTerrace,DJ8080940,DJ,CH.MICRO,196.374358,113.173309,111.325439,95.983716
WesternTerrace,DJ8240913,DJ,CH.MICRO,502.376438,207.858651,404.8166,195.989175
WesternTerrace,DJ8241115,DJ,CH.MICRO,604.007382,366.236423,133.775436,71.11753
WesternTerrace,JT8120944,JT,CH.MICRO,393.685901,206.730415,272.145874,167.319989
WesternTerrace,JT8121055,JT,CH.MICRO,696.874321,344.062428,279.997932,144.742847
WesternTerrace,JT8161459,JT,CH.MICRO,510.45623,259.105322,325.663135,277.747525
WesternTerrace,JT8181239,JT,CH.MICRO,896.535067,437.827924,391.031006,261.716159
WesternTerrace,JT8221312,JT,CH.MICRO,1807.22994,285.81619,970.521551,243.443118
WesternTerrace,JT8240939,JT,CH.MICRO,356.689002,172.378486,154.363646,107.856528
WesternTerrace,MP7161452,MP,CH.MICRO,625.466089,275.403892,351.710031,172.77852
WesternTerrace,MP7201144,MP,CH.MICRO,321.584022,229.399277,152.588324,150.94318
WesternTerrace,MP7221331,MP,CH.MICRO,238.66142,210.423559,76.4874653,60.9571881
WesternTerrace,MP7290946,MP,CH.MICRO,599.651081,223.299965,490.799008,166.372294
WesternTerrace,MP8131412,MP,CH.MICRO,556.156694,320.492177,210.641677,153.286777
WesternTerrace,RD7111228,RD,CH.MICRO,1547.89196,234.75238,1346.69933,249.060295
WesternTerrace,RD7150937,RD,CH.MICRO,688.402744,160.428239,501.55774,134.058438
WesternTerrace,RD7161445,RD,CH.MICRO,1151.74686,489.255984,424.542678,222.348589
WesternTerrace,RD7221313,RD,CH.MICRO,2025.26773,467.491621,1282.36002,484.066066
WesternTerrace,RD7291227,RD,CH.MICRO,2220.25698,367.9518,1412.22851,448.733139
WesternTerrace,RD8241319,RD,CH.MICRO,1791.06728,330.627041,1149.59067,318.178365
WesternTerrace,SB8081202,SB,CH.MICRO,120.430544,62.8086991,104.193009,57.4592873
WesternTerrace,SB8081313,SB,CH.MICRO,151.976227,101.526851,69.158542,64.893046
WesternTerrace,SB8081528,SB,CH.MICRO,1899.49289,462.421403,1430.77712,470.710689
WesternTerrace,SB8131210,SB,CH.MICRO,523.463821,236.535112,201.337266,169.600661
WesternTerrace,SB8221248,SB,CH.MICRO,271.495717,125.442492,105.825134,62.6289537
