fish_id,species,species_full_name,site,phase,total_length
BB,CH.MICRO,Chlorurus Microrhinos,PENGUINSPIT,TP,65
GP,CH.MICRO,Chlorurus Microrhinos,PENGUINSPIT,TP,63
NL,CH.MICRO,Chlorurus Microrhinos,PENGUINSPIT,TP,60
RB,CH.MICRO,Chlorurus Microrhinos,PENGUINSPIT,TP,66
RH,CH.MICRO,Chlorurus Microrhinos,PENGUINSPIT,TP,63
DJ,CH.MICRO,Chlorurus Microrhinos,WESTERNTERRACE,TP,66
JT,CH.MICRO,Chlorurus Microrhinos,WESTERNTERRACE,TP,59
MP,CH.MICRO,Chlorurus Microrhinos,WESTERNTERRACE,TP,63
RD,CH.MICRO,Chlorurus Microrhinos,WESTERNTERRACE,TP,60
SB,CH.MICRO,Chlorurus Microrhinos,WESTERNTERRACE,TP,62
BA,CH.SPIL,Chlorurus Spilurus,PENGUINSPIT,TP,28
BR,CH.SPIL,Chlorurus Spilurus,PENGUINSPIT,TP,30
GF,CH.SPIL,Chlorurus Spilurus,PENGUINSPIT,TP,28
PK,CH.SPIL,Chlorurus Spilurus,PENGUINSPIT,TP,28
WF,CH.SPIL,Chlorurus Spilurus,PENGUINSPIT,TP,27
BC,CH.SPIL,Chlorurus Spilurus,WESTERNTERRACE,TP,29
DM,CH.SPIL,Chlorurus Spilurus,WESTERNTERRACE,TP,28
SL,CH.SPIL,Chlorurus Spilurus,WESTERNTERRACE,TP,27
SN,CH.SPIL,Chlorurus Spilurus,WESTERNTERRACE,TP,26
SR,CH.SPIL,Chlorurus Spilurus,WESTERNTERRACE,TP,28
